Track_name,Track_artist,Track_album_name,Track_album_release_date,Genre,Playlist_name,Playlist_subgenre,Duration_min,Speechiness,Danceability,Energy,Mode,Instrumentalness,Valence,Key,Tempo,Loudness,Acousticness,Liveness,Track_popularity,Popularity_type
No Son Doritos,"Clave Especial, Luis R Conriquez",No Son Doritos,8/23/2024,latin,Viva Latino,modern,2.68,0.029,0.783,0.834,0,0.00021,0.92,3,140,-4.6,0.539,0.09,81,high
Bed Chem,Sabrina Carpenter,Short n' Sweet,8/23/2024,pop,Global Top 50,global,2.86,0.043,0.739,0.727,0,0,0.676,11,95,-6,0.068,0.104,90,high
Juno,Sabrina Carpenter,Short n' Sweet,8/23/2024,pop,Global Top 50,global,3.72,0.043,0.633,0.725,1,0,0.64,5,130.5,-4.3,0.046,0.205,87,high
Starburster,Fontaines D.C.,Romance,8/23/2024,rock,Rock This,modern,3.69,0.066,0.511,0.862,1,0,0.361,10,98,-5.7,0.066,0.094,69,high
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",Mr. Skii,8/22/2024,hip-hop,RapCaviar,modern,2.65,0.32,0.608,0.4,1,0.00033,0.089,1,106.7,-9.5,0.029,0.119,69,high
SE TE NOTA (feat. Peso Pluma),"Myke Towers, Peso Pluma",LA PANTERA NEGRA,8/22/2024,latin,Viva Latino,modern,3.17,0.042,0.773,0.616,1,0.00004,0.25,0,104,-4.5,0.057,0.145,72,high
EL LOKERON,Tito Double P,INCÓMODO,8/22/2024,latin,Viva Latino,modern,2.44,0.052,0.724,0.689,0,0.00001,0.936,7,120.2,-7.2,0.573,0.092,89,high
JUJU (feat. Shallipopi),"Smur Lee, ODUMODUBLVCK, Shallipopi",JUJU (feat. Shallipopi),8/22/2024,afrobeats,African Heat,african,2.63,0.157,0.897,0.719,0,0.00053,0.546,6,113,-7.2,0.116,0.068,71,high
Bolide Noir,"Central Cee, JRK 19",Bolide Noir,8/22/2024,hip-hop,French Rap Classics,french,2.85,0.354,0.724,0.78,0,0,0.72,1,134.9,-5.4,0.294,0.139,70,high
I Only Smoke When I Drink,nimino,I Only Smoke When I Drink,8/22/2024,electronic,Techno Bunker,techno,3.31,0.176,0.88,0.729,0,0.0113,0.246,11,127,-6.4,0.334,0.185,79,high
AY MAMÁ,"Tito Double P, Grupo Frontera",INCÓMODO,8/22/2024,latin,Viva Latino,modern,2.72,0.116,0.666,0.764,0,0,0.729,4,148.9,-6.3,0.366,0.347,85,high
DOS DÍAS,"Tito Double P, Peso Pluma",INCÓMODO,8/22/2024,latin,Viva Latino,modern,2.58,0.087,0.745,0.513,1,0,0.929,1,109.9,-9.1,0.783,0.216,88,high
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,8/16/2024,pop,Today's Top Hits,mainstream,4.19,0.03,0.521,0.592,0,0,0.535,6,158,-7.8,0.308,0.122,100,high
Sorry Not Sorry,"Lil Yachty, Veeze",Sorry Not Sorry,8/16/2024,hip-hop,RapCaviar,modern,2.28,0.322,0.662,0.509,1,0,0.549,1,157.9,-9.2,0.247,0.266,70,high
Good To Be,Mark Ambor,Rockwood,8/16/2024,folk,Indie Folk,indie,2.45,0.028,0.656,0.731,1,0.00111,0.376,4,94,-5.9,0.575,0.397,71,high
UWAIE,Kapo,UWAIE,8/15/2024,latin,Viva Latino,modern,2.87,0.04,0.705,0.783,0,0,0.454,9,103,-4.8,0.138,0.098,86,high
Are you there?,Ayo Maff,MAFFIAN,8/15/2024,afrobeats,African Heat,african,2.61,0.059,0.782,0.529,1,0,0.44,0,112,-8.6,0.509,0.413,69,high
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",New Woman (feat. ROSALÍA),8/15/2024,gaming,Top Gaming Tracks,modern,3,0.275,0.477,0.854,1,0,0.314,7,140.5,-4.7,0.086,0.065,85,high
Diet Pepsi,Addison Rae,Diet Pepsi,8/9/2024,pop,Today's Top Hits,mainstream,2.83,0.041,0.669,0.561,1,0.00962,0.841,10,150.1,-6.5,0.495,0.095,88,high
Brokey,Latto,Sugar Honey Iced Tea,8/9/2024,hip-hop,RapCaviar,modern,3.63,0.137,0.776,0.525,1,0,0.467,1,75,-6.7,0.037,0.108,70,high
The Largest,BigXthaPlug,The Largest,8/9/2024,hip-hop,RapCaviar,modern,2.21,0.225,0.902,0.867,0,0,0.799,10,131,-3.1,0.068,0.142,68,high
